Date,GLD,IWM,QQQ,SPY,TLT,VNQ
2008-06-24,87.47000122070312,55.371055603027344,40.42290496826172,94.87690734863281,53.81379318237305,29.249876022338867
2008-06-25,87.41999816894531,55.997596740722656,41.07920837402344,95.32527923583984,53.83755111694336,29.728824615478516
2008-06-26,90.61000061035156,54.556514739990234,39.421180725097656,92.73619842529297,54.199867248535156,28.73672103881836
2008-06-27,91.47000122070312,54.61137008666992,39.421180725097656,92.2299575805664,54.83544158935547,28.511911392211914
2008-06-30,91.4000015258789,54.07879638671875,39.006690979003906,92.55540466308594,54.84731674194336,28.551008224487305
2008-07-01,92.66000366210938,54.11795425415039,39.559356689453125,92.84469604492188,54.717369079589844,28.526569366455078
2008-07-02,93.16999816894531,52.582664489746094,38.60945129394531,91.253662109375,55.00344467163086,28.174694061279297
2008-07-03,92.05999755859375,52.299686431884766,38.54036331176758,91.34767150878906,54.88428497314453,27.8863468170166
2008-07-07,91.2300033569336,51.63935852050781,38.773502349853516,90.41471862792969,55.13467788696289,27.260786056518555
2008-07-08,90.86000061035156,53.510276794433594,39.697513580322266,92.02024841308594,55.49231719970703,29.293861389160156
2008-07-09,91.5,52.07958984375,38.643985748291016,90.24838256835938,55.73673629760742,27.294998168945312
2008-07-10,93.52999877929688,52.59054946899414,39.10166931152344,90.61724853515625,55.730743408203125,27.82282829284668
2008-07-11,95.16000366210938,52.88142395019531,38.47990798950195,89.56135559082031,54.93791961669922,27.685977935791016
2008-07-14,95.91000366210938,52.008827209472656,38.1949348449707,88.75138092041016,55.42078399658203,26.723203659057617
2008-07-15,96.16999816894531,51.788726806640625,38.203575134277344,87.500244140625,55.40288543701172,26.464168548583984
2008-07-16,94.44000244140625,53.69109344482422,39.15349578857422,89.64816284179688,54.40141296386719,28.39461898803711
2008-07-17,94.22000122070312,53.769718170166016,39.41254806518555,90.54492950439453,54.121280670166016,28.73672103881836
2008-07-18,94.16999816894531,54.14702606201172,38.50581359863281,91.10900115966797,53.9185676574707,28.785593032836914
2008-07-21,95.12000274658203,54.80736541748047,38.66987991333008,91.1596450805664,54.12721252441406,29.000635147094727
2008-07-22,93.05999755859375,56.18305587768555,38.66987991333008,92.19383239746094,53.85899353027344,29.777690887451172
2008-07-23,90.56999969482422,56.544681549072266,39.17938995361328,92.69284057617188,53.751670837402344,30.618289947509766
2008-07-24,91.33000183105469,55.11395263671875,38.59217834472656,90.76910400390625,54.27623748779297,28.590106964111328
2008-07-25,91.69000244140625,55.562007904052734,39.093040466308594,90.74739837646484,53.7337760925293,29.05927848815918
2008-07-28,91.7300033569336,54.61869430541992,38.35902786254883,89.41670227050781,54.27623748779297,28.58521842956543
2008-07-29,90.58999633789062,55.95508575439453,39.15349578857422,91.32599639892578,54.0556755065918,29.91452980041504
2008-07-30,89.5199966430664,56.29310989379883,39.35210037231445,92.95320129394531,54.109344482421875,29.811906814575195
2008-07-31,90.08000183105469,56.06513595581055,39.25711441040039,91.7237319946289,54.6458740234375,29.440488815307617
2008-08-01,89.56999969482422,56.13590621948242,38.75625228881836,91.23917388916016,54.76670837402344,29.46491241455078
2008-08-04,88.13999938964844,55.61705780029297,38.36764907836914,90.3930435180664,54.641029357910156,29.03484535217285
2008-08-05,86.08000183105469,56.56825256347656,39.6629638671875,92.83023834228516,54.23419952392578,30.33972930908203
2008-08-06,86.63999938964844,56.85124969482422,40.267459869384766,93.24246215820312,54.012821197509766,30.193092346191406
2008-08-07,86.08999633789062,56.00225067138672,39.956581115722656,91.8539047241211,54.89230728149414,29.3964900970459
2008-08-08,84.43000030517578,57.480140686035156,40.86331558227539,93.56067657470703,55.041847229003906,30.25174903869629
2008-08-11,81.12999725341797,58.8558235168457,41.234642028808594,94.52973175048828,54.51541519165039,31.22919464111328
2008-08-12,80.5199966430664,58.41557693481445,41.27781295776367,93.54621124267578,55.02396011352539,30.530323028564453
2008-08-13,81.55999755859375,58.62786102294922,41.19148635864258,92.98210144042969,54.83250427246094,30.08559226989746
2008-08-14,79.3499984741211,59.19384765625,41.666419982910156,93.68358612060547,55.18551254272461,30.56943130493164
2008-08-15,77.62999725341797,59.03666305541992,41.58869552612305,94.13921356201172,55.66411209106445,30.525434494018555
2008-08-18,78.80000305175781,58.27408981323242,41.1051025390625,92.85192108154297,55.88547134399414,30.105140686035156
2008-08-19,80.43000030517578,57.30718231201172,40.59562301635742,91.83944702148438,55.67009735107422,29.36227798461914
2008-08-20,80.05999755859375,57.38579559326172,40.664695739746094,92.2661361694336,55.82562255859375,29.40625762939453
2008-08-21,82.30000305175781,56.72547149658203,40.474708557128906,92.42525482177734,55.723941802978516,28.883342742919922
2008-08-22,81.08000183105469,57.920318603515625,41.01011276245117,93.76317596435547,55.68801498413086,29.86566162109375
2008-08-25,80.93000030517578,56.646854400634766,40.14657211303711,91.86115264892578,56.244441986083984,28.961532592773438
2008-08-26,81.2300033569336,56.733333587646484,40.09474563598633,92.12869262695312,56.29228973388672,29.30363655090332
2008-08-27,81.36000061035156,57.40939712524414,40.35382843017578,93.02549743652344,56.38801193237305,29.59686279296875
2008-08-28,82.18000030517578,58.57282638549805,40.68196105957031,94.15369415283203,56.39400100708008,30.3494873046875
2008-08-29,81.70999908447266,58.0697021484375,39.82704544067383,93.1412353515625,56.142723083496094,30.139358520507812
2008-09-02,79.19999694824219,58.05400848388672,39.33483123779297,92.56262969970703,56.665157318115234,30.334840774536133
2008-09-03,78.88999938964844,58.28983688354492,38.96349334716797,92.48306274414062,56.90531539916992,30.81377410888672
2008-09-04,78.38999938964844,56.45820617675781,37.702701568603516,89.69876098632812,57.36164093017578,29.948753356933594
2008-09-05,78.9800033569336,56.31670379638672,37.5213623046875,89.9808349609375,57.3316535949707,29.95363426208496
2008-09-08,78.86000061035156,56.97703552246094,37.45227813720703,91.83944702148438,57.5717887878418,31.248733520507812
2008-09-09,76.48999786376953,55.664215087890625,36.65781021118164,89.11294555664062,58.14226531982422,30.08070182800293
2008-09-10,74.22000122070312,56.18305587768555,36.96004104614258,89.47459411621094,57.7819938659668,30.13446807861328
2008-09-11,73.08000183105469,56.53678894042969,37.6508903503418,90.76910400390625,57.75197982788086,30.59385108947754
2008-09-12,75.55000305175781,56.79622268676758,37.50409698486328,91.1885757446289,57.007381439208984,30.496109008789062
2008-09-15,77.55999755859375,54.24922561645508,36.33829116821289,86.84933471679688,58.85676574707031,28.73672103881836
2008-09-16,76.79000091552734,55.8135986328125,36.62327575683594,88.30301666259766,58.84479904174805,30.15401268005371
2008-09-17,85.45999908447266,53.298030853271484,34.723453521728516,84.3326187133789,59.13900375366211,28.419055938720703
2008-09-18,82.80000305175781,56.44245910644531,35.897865295410156,86.83488464355469,58.27436065673828,30.833335876464844
2008-09-19,85.9800033569336,58.958011627197266,37.071372985839844,90.28343963623047,56.42494201660156,31.75212287902832
2008-09-22,89.18000030517578,56.56039047241211,35.325836181640625,88.23947143554688,56.418914794921875,29.083707809448242
2008-09-23,88.31999969482422,55.805721282958984,35.05793762207031,86.23188018798828,56.202789306640625,29.27920913696289
2008-09-24,86.70999908447266,55.09671401977539,35.29990768432617,86.50830841064453,56.44896697998047,29.077199935913086
2008-09-25,86.44999694824219,55.380332946777344,35.86159133911133,87.8612289428711,56.334861755371094,29.438631057739258
2008-09-26,86.63999938964844,55.64027786254883,35.49867630004883,87.9048843383789,56.74319839477539,30.34960174560547
2008-09-29,89.56999969482422,51.24452590942383,32.68157958984375,81.01651763916016,58.39442443847656,28.082048416137695
2008-09-30,85.06999969482422,53.56843948364258,33.62348937988281,84.36976623535156,56.97132873535156,30.102066040039062
2008-10-01,85.97000122070312,52.796443939208984,33.26918029785156,84.42069244384766,57.6881103515625,29.37425994873047
2008-10-02,82.33000183105469,50.08649826049805,31.75694465637207,81.35838317871094,58.15185546875,27.478025436401367
2008-10-03,82.58999633789062,49.39326477050781,31.26439666748047,80.26001739501953,58.66382598876953,26.2897891998291
2008-10-06,84.27999877929688,47.045711517333984,30.123746871948242,76.17211151123047,59.72991943359375,25.502578735351562
2008-10-07,87.2699966430664,43.9576416015625,28.214000701904297,72.76065063476562,59.54917526245117,23.314247131347656
2008-10-08,89.41999816894531,42.90202713012695,27.98932456970215,70.92762756347656,58.69392013549805,22.9924259185791
2008-10-09,89.9000015258789,39.380699157714844,27.237520217895508,65.97412109375,58.20002746582031,21.170446395874023
2008-10-10,83.22000122070312,41.31861114501953,27.064695358276367,64.37387084960938,57.790489196777344,23.195415496826172
2008-10-13,81.98999786376953,44.88720703125,30.3570613861084,73.72078704833984,57.049678802490234,24.670806884765625
2008-10-14,82.19999694824219,43.62677001953125,29.043556213378906,72.6297378540039,56.682247161865234,22.9924259185791
2008-10-15,83.30999755859375,39.711544036865234,26.442523956298828,65.4794921875,57.22433090209961,20.0416259765625
2008-10-16,79.29000091552734,42.31120300292969,27.876983642578125,68.20721435546875,56.92915344238281,21.205114364624023
2008-10-17,77.20999908447266,41.121673583984375,27.911556243896484,67.79984283447266,56.537689208984375,20.97736358642578
2008-10-20,78.5,43.083221435546875,28.68927574157715,71.87322998046875,56.989444732666016,21.130855560302734
2008-10-21,76.02999877929688,41.8936882019043,27.20296287536621,69.7274398803711,57.29059600830078,20.408004760742188
2008-10-22,71.70999908447266,39.77457046508789,26.45115852355957,65.93048095703125,58.45301818847656,18.967269897460938
2008-10-23,70.6500015258789,38.59292221069336,26.34747314453125,66.69422912597656,58.886634826660156,18.472171783447266
2008-10-24,72.20999908447266,37.1591796875,25.500612258911133,63.3118782043457,58.2602653503418,17.422555923461914
2008-10-27,72.18000030517578,35.339420318603516,24.792030334472656,61.06424331665039,58.30247116088867,16.432353973388672
2008-10-28,73.79000091552734,38.16753005981445,27.531330108642578,68.19993591308594,57.4532585144043,19.001930236816406
2008-10-29,74.0,38.364471435546875,27.462202072143555,67.7052993774414,57.164093017578125,18.328590393066406
2008-10-30,72.70999908447266,40.515071868896484,28.378177642822266,70.04750061035156,56.64611053466797,19.308881759643555
2008-10-31,71.33999633789062,42.34269332885742,28.421396255493164,70.43299865722656,55.91131591796875,20.551584243774414
2008-11-03,71.0999984741211,42.39784240722656,28.360902786254883,70.63668060302734,56.06250762939453,19.87825584411621
2008-11-04,75.4800033569336,42.886268615722656,29.164541244506836,73.03704071044922,57.11466598510742,20.992229461669922
2008-11-05,72.80000305175781,40.64112091064453,27.643674850463867,69.96748352050781,57.791961669921875,18.927658081054688
2008-11-06,72.22000122070312,39.06556701660156,26.407947540283203,66.09048461914062,57.37467575073242,18.04143524169922
2008-11-07,72.5,39.876983642578125,26.952363967895508,68.27268981933594,56.99974822998047,19.18511390686035
2008-11-10,73.58000183105469,38.95529556274414,26.58942985534668,67.37796783447266,57.277976989746094,17.46710968017578
2008-11-11,72.05000305175781,38.11238479614258,26.010452270507812,65.29763793945312,57.447288513183594,17.224515914916992
2008-11-12,70.0,35.89086151123047,24.809307098388672,62.42445755004883,57.81614685058594,15.991715431213379
2008-11-13,72.1500015258789,38.844993591308594,26.321548461914062,66.31599426269531,56.43133544921875,17.749326705932617
2008-11-14,73.30000305175781,35.95387649536133,25.042634963989258,63.0063591003418,57.550086975097656,15.749113082885742
2008-11-17,72.6500015258789,35.64664840698242,24.515506744384766,62.169925689697266,57.804054260253906,15.1797513961792
2008-11-18,72.51000213623047,35.47334289550781,24.489582061767578,63.34099197387695,58.547821044921875,15.036174774169922
2008-11-19,72.26000213623047,32.58222961425781,23.210657119750977,59.282169342041016,60.04750442504883,13.016172409057617
2008-11-20,73.44999694824219,30.352840423583984,22.087282180786133,54.881431579589844,63.14966583251953,11.986359596252441
2008-11-21,78.8499984741211,32.0150146484375,23.04647445678711,57.8419075012207,62.23654556274414,12.867636680603027
2008-11-24,80.91000366210938,34.268043518066406,24.455013275146484,61.849830627441406,61.26295471191406,15.055981636047363
2008-11-25,80.87000274658203,34.83525466918945,24.342676162719727,62.308067321777344,63.06500244140625,15.293618202209473
2008-11-26,80.37999725341797,36.9228401184082,25.36235237121582,64.71574401855469,63.14966583251953,16.120441436767578
2008-11-28,80.30999755859375,37.293094635009766,25.16361427307129,65.5304183959961,63.92974853515625,15.882796287536621
2008-12-01,75.6500015258789,33.10215377807617,23.271148681640625,59.72584533691406,66.37797546386719,12.783466339111328
2008-12-02,76.94999694824219,34.84312438964844,24.048873901367188,62.02437210083008,66.6327896118164,14.481661796569824
2008-12-03,76.18000030517578,35.89875030517578,24.73154067993164,63.51554870605469,66.82087707519531,15.293618202209473
2008-12-04,75.5,34.70920944213867,24.031587600708008,62.04621124267578,68.13751220703125,14.872794151306152
2008-12-05,74.5199966430664,36.316246032714844,25.00806427001953,63.959251403808594,67.03324890136719,16.447208404541016
2008-12-08,76.19999694824219,37.923301696777344,25.993179321289062,66.19231414794922,66.88756561279297,17.982025146484375
2008-12-09,76.33000183105469,36.74953842163086,25.932680130004883,65.1012191772461,68.2103271484375,16.422452926635742
2008-12-10,79.75,37.6160888671875,25.846267700195312,65.54493713378906,68.04644775390625,17.8334903717041
2008-12-11,80.6500015258789,35.70966720581055,25.137678146362305,63.966529846191406,68.17998504638672,15.288671493530273
2008-12-12,80.80999755859375,36.93860626220703,25.647520065307617,64.73030090332031,68.17998504638672,16.887847900390625
2008-12-15,82.5999984741211,35.74905776977539,25.198162078857422,63.82832717895508,68.95661163330078,16.298675537109375
2008-12-16,84.45999908447266,38.07298278808594,26.407947540283203,66.83243560791016,70.66157531738281,18.293930053710938
2008-12-17,85.43000030517578,38.41960906982422,26.08823013305664,66.18505859375,72.57893371582031,18.630596160888672
2008-12-18,83.87000274658203,38.175392150878906,25.630233764648438,64.94850158691406,74.10186004638672,17.080934524536133
